entity e1,entity e2,pair type,Full Sentence
clozapine,PCP,false,"In the present study, the atypical antipsychotic clozapine was tested in combination with an active dose of PCP in two-lever drug discrimination and mixed signalled-unsignalled differential-reinforcement-of-low-rates (DRL) procedures."
PCP,PCP,false,PCP produced distinctive effects in each task: it substituted for the training dose in PCP discrimination and it increased the number of responses with short (<3 s) interresponse times as well as increasing overall response rates in the DRL schedule.
clozapine,PCP,false,Acute dosing with clozapine failed to alter the behavioral effects of PCP in either procedure even when tested up to doses that produced pharmacological effects alone.
clozapine,PCP,false,These results suggest that acute dosing with clozapine would not affect behaviors most closely associated with PCP intoxication.
antipsychotics,PCP,false,"Since chronic dosing is required for therapeutic efficacy of antipsychotics, future studies should focus on investigation of chronic dosing effects of these drugs in combination with PCP."
ammonium chloride,sodium acid phosphate,false,"Urinary acidifying agents These agents (ammonium chloride, sodium acid phosphate, etc.) increase the concentration of the ionized species of the amphetamine molecule, thereby increasing urinary excretion."
ammonium chloride,amphetamine,mechanism,"Urinary acidifying agents These agents (ammonium chloride, sodium acid phosphate, etc.) increase the concentration of the ionized species of the amphetamine molecule, thereby increasing urinary excretion."
sodium acid phosphate,amphetamine,mechanism,"Urinary acidifying agents These agents (ammonium chloride, sodium acid phosphate, etc.) increase the concentration of the ionized species of the amphetamine molecule, thereby increasing urinary excretion."
Adrenergic blockers,Adrenergic blockers,false,Adrenergic blockers Adrenergic blockers are inhibited by amphetamines.
Adrenergic blockers,amphetamines,false,Adrenergic blockers Adrenergic blockers are inhibited by amphetamines.
Adrenergic blockers,amphetamines,effect,Adrenergic blockers Adrenergic blockers are inhibited by amphetamines.
Antidepressants,tricyclic,false,"Antidepressants, tricyclic Amphetamines may enhance the activity of tricyclic antidepressants or sympathomimetic agents;"
Antidepressants,Amphetamines,false,"Antidepressants, tricyclic Amphetamines may enhance the activity of tricyclic antidepressants or sympathomimetic agents;"
Antidepressants,tricyclic antidepressants,false,"Antidepressants, tricyclic Amphetamines may enhance the activity of tricyclic antidepressants or sympathomimetic agents;"
Antidepressants,sympathomimetic agents,false,"Antidepressants, tricyclic Amphetamines may enhance the activity of tricyclic antidepressants or sympathomimetic agents;"
tricyclic,Amphetamines,false,"Antidepressants, tricyclic Amphetamines may enhance the activity of tricyclic antidepressants or sympathomimetic agents;"
tricyclic,tricyclic antidepressants,false,"Antidepressants, tricyclic Amphetamines may enhance the activity of tricyclic antidepressants or sympathomimetic agents;"
tricyclic,sympathomimetic agents,false,"Antidepressants, tricyclic Amphetamines may enhance the activity of tricyclic antidepressants or sympathomimetic agents;"
Amphetamines,tricyclic antidepressants,effect,"Antidepressants, tricyclic Amphetamines may enhance the activity of tricyclic antidepressants or sympathomimetic agents;"
Amphetamines,sympathomimetic agents,effect,"Antidepressants, tricyclic Amphetamines may enhance the activity of tricyclic antidepressants or sympathomimetic agents;"
tricyclic antidepressants,sympathomimetic agents,false,"Antidepressants, tricyclic Amphetamines may enhance the activity of tricyclic antidepressants or sympathomimetic agents;"
d-amphetamine,desipramine,mechanism,d-amphetamine with desipramine or protriptyline and possibly other tricyclics cause striking and sustained increases in the concentration of d-amphetamine in the brain;
d-amphetamine,protriptyline,mechanism,d-amphetamine with desipramine or protriptyline and possibly other tricyclics cause striking and sustained increases in the concentration of d-amphetamine in the brain;
d-amphetamine,tricyclics,mechanism,d-amphetamine with desipramine or protriptyline and possibly other tricyclics cause striking and sustained increases in the concentration of d-amphetamine in the brain;
d-amphetamine,d-amphetamine,false,d-amphetamine with desipramine or protriptyline and possibly other tricyclics cause striking and sustained increases in the concentration of d-amphetamine in the brain;
desipramine,protriptyline,false,d-amphetamine with desipramine or protriptyline and possibly other tricyclics cause striking and sustained increases in the concentration of d-amphetamine in the brain;
desipramine,tricyclics,false,d-amphetamine with desipramine or protriptyline and possibly other tricyclics cause striking and sustained increases in the concentration of d-amphetamine in the brain;
desipramine,d-amphetamine,false,d-amphetamine with desipramine or protriptyline and possibly other tricyclics cause striking and sustained increases in the concentration of d-amphetamine in the brain;
protriptyline,tricyclics,false,d-amphetamine with desipramine or protriptyline and possibly other tricyclics cause striking and sustained increases in the concentration of d-amphetamine in the brain;
protriptyline,d-amphetamine,false,d-amphetamine with desipramine or protriptyline and possibly other tricyclics cause striking and sustained increases in the concentration of d-amphetamine in the brain;
tricyclics,d-amphetamine,false,d-amphetamine with desipramine or protriptyline and possibly other tricyclics cause striking and sustained increases in the concentration of d-amphetamine in the brain;
MAO inhibitors,MAOI antidepressants,false,"MAO inhibitors MAOI antidepressants, as well as a metabolite of furazolidone, slow amphetamine metabolism."
MAO inhibitors,furazolidone,false,"MAO inhibitors MAOI antidepressants, as well as a metabolite of furazolidone, slow amphetamine metabolism."
MAO inhibitors,amphetamine,false,"MAO inhibitors MAOI antidepressants, as well as a metabolite of furazolidone, slow amphetamine metabolism."
MAOI antidepressants,furazolidone,false,"MAO inhibitors MAOI antidepressants, as well as a metabolite of furazolidone, slow amphetamine metabolism."
MAOI antidepressants,amphetamine,mechanism,"MAO inhibitors MAOI antidepressants, as well as a metabolite of furazolidone, slow amphetamine metabolism."
furazolidone,amphetamine,mechanism,"MAO inhibitors MAOI antidepressants, as well as a metabolite of furazolidone, slow amphetamine metabolism."
Antihistamines,Amphetamines,false,Antihistamines: Amphetamines may counteract the sedative effect of antihistamines.
Antihistamines,antihistamines,false,Antihistamines: Amphetamines may counteract the sedative effect of antihistamines.
Amphetamines,antihistamines,effect,Antihistamines: Amphetamines may counteract the sedative effect of antihistamines.
Antihypertensives,Amphetamines,false,Antihypertensives: Amphetamines may antagonize the hypotensive effects of antihypertensives.
Antihypertensives,antihypertensives,false,Antihypertensives: Amphetamines may antagonize the hypotensive effects of antihypertensives.
Amphetamines,antihypertensives,effect,Antihypertensives: Amphetamines may antagonize the hypotensive effects of antihypertensives.
Chlorpromazine,Chlorpromazine,false,"Chlorpromazine: Chlorpromazine blocks dopamine and norepinephrine receptors, thus inhibiting the central stimulant effects of amphetamines and can be used to treat amphetamine poisoning."
Chlorpromazine,amphetamines,false,"Chlorpromazine: Chlorpromazine blocks dopamine and norepinephrine receptors, thus inhibiting the central stimulant effects of amphetamines and can be used to treat amphetamine poisoning."
Chlorpromazine,amphetamine,false,"Chlorpromazine: Chlorpromazine blocks dopamine and norepinephrine receptors, thus inhibiting the central stimulant effects of amphetamines and can be used to treat amphetamine poisoning."
Chlorpromazine,amphetamines,effect,"Chlorpromazine: Chlorpromazine blocks dopamine and norepinephrine receptors, thus inhibiting the central stimulant effects of amphetamines and can be used to treat amphetamine poisoning."
Chlorpromazine,amphetamine,false,"Chlorpromazine: Chlorpromazine blocks dopamine and norepinephrine receptors, thus inhibiting the central stimulant effects of amphetamines and can be used to treat amphetamine poisoning."
amphetamines,amphetamine,false,"Chlorpromazine: Chlorpromazine blocks dopamine and norepinephrine receptors, thus inhibiting the central stimulant effects of amphetamines and can be used to treat amphetamine poisoning."
Ethosuximide,Amphetamines,false,Ethosuximide: Amphetamines may delay intestinal absorption of ethosuximide.
Ethosuximide,ethosuximide,false,Ethosuximide: Amphetamines may delay intestinal absorption of ethosuximide.
Amphetamines,ethosuximide,mechanism,Ethosuximide: Amphetamines may delay intestinal absorption of ethosuximide.
Haloperidol,Haloperidol,false,"Haloperidol: Haloperidol blocks dopamine receptors, thus inhibiting the central stimulant effects of amphetamines."
Haloperidol,amphetamines,false,"Haloperidol: Haloperidol blocks dopamine receptors, thus inhibiting the central stimulant effects of amphetamines."
Haloperidol,amphetamines,effect,"Haloperidol: Haloperidol blocks dopamine receptors, thus inhibiting the central stimulant effects of amphetamines."
Lithium carbonate,amphetamines,false,Lithium carbonate: The anorectic and stimulatory effects of amphetamines may be inhibited by lithium carbonate.
Lithium carbonate,lithium carbonate,false,Lithium carbonate: The anorectic and stimulatory effects of amphetamines may be inhibited by lithium carbonate.
amphetamines,lithium carbonate,effect,Lithium carbonate: The anorectic and stimulatory effects of amphetamines may be inhibited by lithium carbonate.
Meperidine,Amphetamines,false,Meperidine: Amphetamines potentiate the analgesic effect of meperidine.
Meperidine,meperidine,false,Meperidine: Amphetamines potentiate the analgesic effect of meperidine.
Amphetamines,meperidine,effect,Meperidine: Amphetamines potentiate the analgesic effect of meperidine.
Methenamine,amphetamines,false,"Methenamine therapy Urinary excretion of amphetamines is increased, and efficacy is reduced by acidifying agents used in methenamine therapy."
